Country,"GDP per capita, PPP (constant 2021 international $)"
Afghanistan,1992.4244
Albania,18244.293
Algeria,15159.324
Andorra,64631.297
Angola,7244.893
Antigua and Barbuda,28967.256
Argentina,27104.98
Armenia,19230.19
Australia,59552.88
Austria,65015.133
Azerbaijan,21262.299
Bahamas,33105.605
Bahrain,57213.09
Bangladesh,8242.398
Barbados,19224.463
Belarus,27718.322
Belgium,64185.848
Belize,12455.296
Benin,3721.2246
Bhutan,14061.3125
Bolivia,9843.97
Bosnia and Herzegovina,20126.38
Botswana,18846.25
Brazil,19018.238
Brunei,76828.4
Bulgaria,33403.375
Burkina Faso,2482.0723
Burundi,828.8611
Cambodia,6690.5894
Cameroon,4870.571
Canada,55918.93
Cape Verde,9288.402
Central African Republic,1135.1362
Chad,1679.4615
Chile,29462.64
China,22137.6
Colombia,18692.385
Comoros,3498.8032
Congo,6172.2876
Costa Rica,26292.771
Cote d'Ivoire,6485.316
Croatia,41116.87
Cyprus,53420.684
Czechia,49681.06
Democratic Republic of Congo,1455.8356
Denmark,72097.305
Djibouti,6400.62
Dominica,17420.252
Dominican Republic,23087.934
East Timor,4328.508
Ecuador,14472.316
Egypt,16691.133
El Salvador,11404.334
Equatorial Guinea,15688.238
Estonia,42471.824
Eswatini,10132.1875
Ethiopia,2755.457
Fiji,13652.491
Finland,57063.523
France,55441.188
Gabon,18702.691
Gambia,2932.2805
Georgia,22590.53
Germany,63578.14
Ghana,6796.4736
Greece,36905.453
Greenland,68086.46
Grenada,16946.473
Guatemala,12389.386
Guinea,3949.34
Guinea-Bissau,2578.8044
Guyana,49315.16
Haiti,2956.4622
Honduras,6468.302
Hungary,40543.992
Iceland,67255.67
India,9160.063
Indonesia,13889.883
Iran,15912.03
Iraq,12711.062
Ireland,114922.39
Israel,48432.11
Italy,53312.07
Jamaica,10291.3125
Japan,46157.637
Jordan,9362.588
Kazakhstan,34703.234
Kenya,5682.9893
Kiribati,3195.8704
Kosovo,13642.677
Kuwait,46458.2
Kyrgyzstan,6403.143
Laos,8372.156
Latvia,37007.367
Lebanon,11474.751
Lesotho,2595.8296
Liberia,1616.9237
Libya,12478.144
Lithuania,46740.41
Luxembourg,132846.58
Madagascar,1643.3093
Malawi,1648.4365
Malaysia,32812.3
Maldives,22286.98
Mali,2394.672
Malta,61125.71
Marshall Islands,6786.696
Mauritania,6258.711
Mauritius,26590.424
Mexico,22142.607
Micronesia (country),3886.6965
Moldova,15855.273
Mongolia,16222.864
Montenegro,27869.65
Morocco,8868.712
Mozambique,1511.6365
Myanmar,5364.138
Namibia,10105.515
Nauru,12462.841
Nepal,4859.8003
Netherlands,71446.695
New Zealand,48826.574
Nicaragua,7486.943
Niger,1703.397
Nigeria,5593.0566
North Macedonia,23584.564
Norway,90469.81
Oman,38311.418
Pakistan,5439.1875
Palau,15796.54
Palestine,5313.098
Panama,35863.88
Papua New Guinea,4174.4414
Paraguay,15783.115
Peru,15294.257
Philippines,9901.057
Poland,44384.168
Portugal,41755.48
Puerto Rico,42994.785
Qatar,116159.14
Romania,40665.527
Russia,39753.457
Rwanda,3060.029
Saint Kitts and Nevis,30409.404
Saint Lucia,23403.46
Saint Vincent and the Grenadines,18335.213
Samoa,6304.346
San Marino,70887.57
Sao Tome and Principe,5541.302
Saudi Arabia,55055.4
Senegal,4317.2266
Serbia,26030.021
Seychelles,29468.951
Sierra Leone,3034.219
Singapore,127543.555
Slovakia,39290.434
Slovenia,48243.94
Solomon Islands,2534.0276
Somalia,1402.47
South Africa,13690.39
South Korea,50572.25
Spain,47141.543
Sri Lanka,13029.524
Sudan,2469.1946
Suriname,19043.705
Sweden,63114.68
Switzerland,82557.55
Syria,4454.8535
Tajikistan,4472.324
Tanzania,3620.7935
Thailand,21142.664
Togo,2767.5166
Tonga,6901.739
Trinidad and Tobago,31705.834
Tunisia,12552.986
Turkey,34609.914
Turkmenistan,17866.404
Tuvalu,5812.393
Uganda,2791.0557
Ukraine,15885.226
United Arab Emirates,68577.54
United Kingdom,54542.016
United States,74577.51
Uruguay,31019.31
Uzbekistan,10007.686
Vanuatu,3118.396
Vietnam,13491.88
Zambia,3673.4841
Zimbabwe,3442.2512
